"Legajo","materia","cond_regularidad","nota"
7755,1,2,2
7755,1,4,5
7893,1,2,2
7893,1,1,2
7927,1,4,6.5
7410,2,4,5.5
7423,2,5,9
7430,2,2,1
7430,2,5,8
7438,2,5,8.5
7456,2,4,6
7469,2,4,5
7473,2,2,3
7473,2,4,5
7490,2,4,5
7495,2,5,7
7507,2,5,7
7600,2,2,3
7600,2,4,5
7656,2,2,1
7660,2,2,3
7660,2,4,6
7668,2,4,5.5
7678,2,4,6
7755,2,2,2
7755,2,5,8
7893,2,1,2
7410,4,1,2
7423,4,5,9
7438,4,4,9.5
7456,4,4,6.5
7469,4,1,2
7473,4,2,2
7473,4,4,6
7490,4,2,2
7495,4,4,5
7507,4,2,2
7507,4,2,2
7507,4,5,7
7600,4,4,5.5
7660,4,4,7
7668,4,2,2
7668,4,4,5.5
7678,4,4,5.5
7755,4,2,2
7877,4,2,2
7893,4,2,2
7927,4,4,5.5
7423,5,5,9.5
7438,5,5,8.5
7456,5,4,4
7473,5,2,2
7473,5,2,2
7473,5,4,7.5
7507,5,2,2
7507,5,2,2
7507,5,4,4.5
7600,5,1,2
7660,5,4,5.5
7668,5,2,2
7678,5,4,8.5
7410,7,4,5
7423,7,5,10
7438,7,4,7
7456,7,4,4
7469,7,4,6.4
7473,7,4,6.5
7490,7,2,2
7495,7,2,2
7495,7,2,2
7495,7,4,4.8
7507,7,4,6.5
7600,7,1,2
7660,7,4,5
7668,7,2,2
7678,7,4,8
7410,125,2,0
7423,125,5,10
7438,125,5,7
7456,125,4,6
7469,125,4,5.25
7473,125,4,5
7495,125,4,4
7507,125,2,1
7507,125,4,4
7600,125,4,5
7660,125,4,4
7668,125,2,3.5
7678,125,4,5
7410,127,2,2
7423,127,5,10
7438,127,4,7.5
7456,127,4,4
7469,127,5,7
7473,127,5,8
7495,127,5,7
7507,127,5,9
7600,127,5,9
7660,127,4,5
7668,127,4,7
7755,127,5,10
7410,145,5,9
7423,145,5,10
7438,145,5,10
7456,145,4,6
7469,145,5,9
7473,145,5,7
7490,145,1,2
7490,145,1,2
7495,145,5,9
7507,145,5,9
7600,145,5,7
7660,145,5,7
7668,145,4,4
7678,145,4,6
7755,145,5,9
7927,145,5,10
7410,193,4,7.2
7423,193,4,10
7438,193,4,9.3
7456,193,4,9.3
7469,193,2,2
7469,193,4,4
7473,193,4,7.9
7490,193,2,2
7495,193,4,9.3
7507,193,4,10
7600,193,4,6.4
7660,193,4,7.9
7678,193,4,10
7755,193,4,7.9
7893,193,4,7
7421,1,5,8.5
7433,1,4,8
7483,1,4,7
7489,1,4,6
7586,1,2,2
7586,1,2,2
7586,1,1,2
7611,1,4,6.5
7644,1,2,2
7644,1,1,2
7657,1,2,2
7657,1,1,2
7682,1,2,2
7682,1,2,2
7682,1,1,2
7682,1,1,2
7853,1,2,2
7853,1,4,4.5
7880,1,2,2
7880,1,1,2
7421,2,5,9
7433,2,5,7
7483,2,5,8
7489,2,4,6.5
7586,2,2,1
7586,2,1,1
7611,2,5,8.5
7682,2,2,1
7682,2,4,5
7692,2,2,2
7752,2,1,1
7853,2,4,6
7421,4,5,9.5
7433,4,2,2
7483,4,5,8.5
7489,4,4,7
7611,4,5,7.5
7644,4,2,2
7692,4,2,2
7853,4,2,2
7853,4,1,2
7880,4,2,2
7421,5,4,7.5
7433,5,2,2
7433,5,2,2
7483,5,4,10
7489,5,2,2
7489,5,4,4
7611,5,4,9
7421,7,5,8
7433,7,2,2
7483,7,4,5
7489,7,4,5
7611,7,4,6
7853,7,4,6.5
7421,125,5,8.5
7483,125,5,8
7489,125,4,4
7611,125,5,7
7682,125,2,0
7853,125,2,1
7421,127,5,10
7483,127,5,9
7489,127,5,9
7611,127,5,8
7853,127,4,4
7421,145,5,10
7433,145,5,7
7483,145,5,9
7489,145,5,10
7611,145,5,9
7657,145,1,2
7682,145,4,5
7752,145,4,5
7853,145,5,8
7421,193,4,9.3
7433,193,4,9.3
7483,193,4,7.9
7489,193,4,7.2
7586,193,4,4.3
7611,193,4,10
7682,193,4,5.7
7692,193,2,2
7752,193,2,2
7752,193,4,6
7414,1,2,2
7414,1,5,9
7429,1,5,8.5
7440,1,5,9
7446,1,5,8
7485,1,5,9.5
7503,1,4,6
7561,1,4,6.5
7612,1,2,2
7612,1,1,2
7670,1,2,2
7670,1,4,6
7732,1,2,2
7732,1,2,2
7732,1,2,2
7732,1,1,2
7756,1,2,2
7756,1,2,2
7756,1,1,2
7787,1,2,2
7787,1,5,9.5
7857,1,4,4.5
7414,2,5,9
7429,2,5,8.5
7440,2,2,3
7440,2,4,7.5
7446,2,5,7.5
7485,2,5,9
7503,2,2,2
7503,2,4,5
7612,2,2,3
7670,2,4,6
7732,2,2,3
7732,2,4,5
7756,2,5,8
7787,2,5,8.5
7414,4,5,9
7429,4,5,9
7440,4,4,6.5
7446,4,4,6.5
7485,4,5,9
7503,4,2,2
7561,4,4,5
7670,4,4,7.5
7732,4,2,2
7732,4,4,6
7756,4,1,2
7787,4,4,5.5
7855,4,2,2
7414,5,2,2
7414,5,4,6.5
7429,5,5,10
7440,5,5,8
7446,5,4,6.5
7485,5,5,9
7561,5,4,7
7670,5,4,6
7787,5,4,8
7414,7,4,8
7429,7,5,10
7440,7,5,8.5
7446,7,4,5
7485,7,4,6
7561,7,4,6
7670,7,4,5
7732,7,4,4.5
7787,7,5,10
7838,7,4,4
7414,125,5,9.5
7429,125,5,9.5
7440,125,5,7
7446,125,4,4
7485,125,5,9
7561,125,2,2
7561,125,2,2.75
7561,125,4,5.5
7612,125,2,0
7670,125,2,1
7670,125,2,0
7732,125,2,2
7732,125,2,0
7756,125,2,1
7787,125,4,4
7414,127,5,8
7429,127,5,10
7440,127,5,10
7446,127,5,10
7485,127,5,10
7561,127,4,8
7612,127,2,2
7670,127,5,7
7732,127,5,9
7756,127,4,5
7787,127,5,8
7414,145,5,8
7429,145,5,10
7440,145,5,10
7446,145,5,9
7485,145,5,10
7503,145,5,8
7561,145,4,5
7612,145,5,8
7670,145,5,7
7732,145,5,8
7756,145,4,5
7787,145,5,10
7857,145,4,4
7414,193,4,9.3
7429,193,4,10
7440,193,4,10
7446,193,4,7.2
7485,193,4,10
7503,193,4,7.2
7612,193,2,2
7612,193,4,7
7670,193,4,6.4
7732,193,4,7.2
7756,193,4,4
7787,193,4,10
7838,193,4,5.7
7855,193,1,2
7052,1,2,2
7052,1,2,2
7402,1,2,2
7402,1,4,5
7476,1,2,2
7476,1,5,7
7487,1,5,10
7504,1,5,7.5
7505,1,4,4.5
7506,1,4,6.5
7581,1,2,2
7581,1,2,2
7593,1,4,7
7640,1,2,2
7640,1,1,2
7669,1,1,2
7690,1,5,8.5
7693,1,4,6.5
7694,1,4,7
7744,1,2,2
7744,1,2,2
7759,1,5,9
7052,2,5,8
7402,2,5,8
7476,2,2,3
7476,2,5,8
7487,2,5,10
7504,2,2,3
7504,2,5,8
7505,2,4,8
7506,2,4,7
7581,2,2,1
7581,2,4,6
7593,2,4,6.5
7640,2,2,3
7640,2,4,5
7669,2,4,6
7690,2,5,7.5
7694,2,2,3
7694,2,2,3
7694,2,5,9
7759,2,5,9
7402,4,2,2
7402,4,2,2
7402,4,4,5.5
7476,4,4,7
7487,4,5,8.5
7504,4,4,7.5
7505,4,2,2
7505,4,4,4.5
7506,4,2,2
7506,4,1,2
7581,4,2,2
7581,4,1,2
7593,4,2,2
7640,4,2,2
7640,4,1,2
7690,4,4,8.5
7694,4,4,8
7744,4,2,2
7759,4,5,9
7402,5,2,2
7402,5,2,3
7476,5,2,2
7476,5,4,8
7487,5,5,10
7504,5,5,7.5
7505,5,4,4.5
7593,5,2,2
7690,5,4,7.5
7694,5,4,5.5
7759,5,5,8.5
7052,7,5,10
7402,7,4,4
7476,7,4,4
7487,7,5,8
7504,7,4,5
7505,7,4,9
7506,7,2,2
7554,7,4,7
7593,7,4,4
7690,7,5,8
7694,7,4,6.5
7759,7,5,10
7840,7,3,6
7402,125,4,5.5
7476,125,4,4.5
7487,125,5,8.5
7504,125,4,6
7505,125,4,4
7506,125,2,1
7690,125,5,9
7694,125,5,7
7759,125,5,8.5
7052,127,5,10
7476,127,4,7.5
7487,127,5,10
7504,127,5,9
7505,127,4,6
7640,127,2,2
7690,127,5,10
7694,127,4,7
7759,127,5,10
7052,145,5,10
7402,145,5,7
7476,145,4,6
7487,145,5,10
7504,145,5,7
7506,145,4,7
7581,145,5,10
7593,145,4,6
7640,145,4,6
7669,145,4,5
7690,145,5,9
7694,145,4,6
7744,145,4,5
7759,145,5,10
7402,193,4,9.3
7476,193,4,6.4
7487,193,4,9.3
7504,193,4,7.2
7505,193,4,5.7
7506,193,4,10
7554,193,4,5.5
7581,193,4,10
7593,193,4,7.2
7640,193,4,4.3
7669,193,4,9.3
7690,193,4,9.3
7693,193,4,7.9
7694,193,4,4
7759,193,4,10
7396,1,2,2
7396,1,4,7
7405,1,2,2
7405,1,2,2
7406,1,4,6.5
7413,1,4,8
7416,1,4,6
7422,1,5,8
7426,1,2,2
7427,1,5,8.5
7551,1,2,2
7606,1,2,2
7606,1,1,2
7613,1,4,7.5
7620,1,2,2
7629,1,2,2
7629,1,4,6
7650,1,2,2
7695,1,2,2
7695,1,4,4
7699,1,4,7
7706,1,2,2
7707,1,2,2
7740,1,5,8.5
7747,1,2,2
7767,1,2,2
7767,1,4,4
7843,1,2,2
7884,1,2,2
7884,1,1,2
7886,1,2,2
7886,1,2,2
7886,1,1,2
7396,2,2,3
7396,2,4,6
7405,2,2,3
7405,2,4,5
7406,2,5,7.5
7413,2,5,9
7416,2,4,6
7422,2,5,9
7426,2,4,6.5
7427,2,5,9
7533,2,5,7.5
7606,2,2,3
7606,2,5,8
7613,2,4,9
7620,2,2,1
7629,2,4,6
7650,2,2,1
7695,2,2,3
7695,2,5,9
7699,2,4,8
7706,2,2,1
7740,2,5,7
7747,2,4,6
7767,2,2,2
7767,2,5,7.5
7843,2,4,5.5
7884,2,4,7
7886,2,4,5
7396,4,2,2
7406,4,4,8
7413,4,5,9
7416,4,4,10
7422,4,5,8
7427,4,5,8
7606,4,2,2
7606,4,1,2
7613,4,4,6
7629,4,4,7.5
7650,4,1,2
7695,4,2,2
7695,4,2,2
7695,4,1,2
7699,4,4,8.5
7740,4,5,7
7747,4,2,2
7747,4,1,2
7767,4,4,5
7843,4,2,2
7884,4,4,5.5
7886,4,2,1
7886,4,4,5.5
7406,5,4,6.5
7413,5,4,6.5
7422,5,4,5.5
7427,5,5,10
7613,5,4,8.5
7629,5,4,6
7740,5,5,8.5
7767,5,4,5
7406,7,4,4
7413,7,4,7
7422,7,4,8
7427,7,5,8
7533,7,2,2
7533,7,1,1
7613,7,4,8
7629,7,4,6
7740,7,4,6
7767,7,4,4.5
7835,7,4,5
7406,125,4,4.5
7413,125,5,9.5
7422,125,5,9.5
7426,125,5,7.5
7427,125,5,7
7533,125,4,4
7613,125,4,5.5
7629,125,5,8
7695,125,2,0
7695,125,4,4
7699,125,2,0
7699,125,4,5
7740,125,5,7
7767,125,4,4.5
7886,125,2,1
7406,127,4,4
7413,127,5,8
7422,127,5,10
7426,127,5,7
7427,127,5,10
7533,127,4,6
7606,127,4,7
7613,127,5,8
7629,127,4,7.5
7695,127,5,7
7699,127,4,7
7740,127,5,9
7767,127,4,7.5
7886,127,4,6
7396,145,4,6
7405,145,5,8
7406,145,4,6
7413,145,5,10
7416,145,4,5
7422,145,5,10
7426,145,5,8
7427,145,5,9
7533,145,5,7
7606,145,4,6
7629,145,5,7
7650,145,5,7
7695,145,5,8
7706,145,4,6
7740,145,5,9
7747,145,4,5
7767,145,4,4
7843,145,1,2
7884,145,5,7
7886,145,5,7
7396,193,4,8.6
7405,193,4,7.2
7406,193,4,7.9
7413,193,4,10
7416,193,4,6.4
7422,193,4,10
7426,193,4,9.3
7427,193,4,10
7606,193,4,7.1
7613,193,4,8.6
7620,193,4,8.6
7629,193,4,6.4
7650,193,4,8.6
7695,193,4,8.6
7699,193,4,10
7740,193,4,4
7747,193,4,5
7835,193,4,5.7
7884,193,4,8.5
7886,193,4,4
7420,1,5,10
7424,1,2,2
7424,1,4,5
7436,1,5,10
7464,1,4,7.5
7477,1,4,5.5
7486,1,2,2
7486,1,4,7
7502,1,5,9
7665,1,2,2
7665,1,2,2
7665,1,1,2
7665,1,1,2
7714,1,4,5.5
7729,1,2,2
7729,1,4,6
7746,1,5,8
7750,1,5,8.5
7808,1,2,2
7808,1,5,8
7420,2,5,7.5
7424,2,5,8.5
7436,2,5,10
7464,2,5,9.5
7477,2,5,8
7481,2,5,8
7486,2,5,7
7502,2,5,10
7665,2,2,2
7665,2,4,5
7687,2,2,1
7714,2,2,3
7714,2,5,9
7729,2,2,3
7729,2,4,5
7746,2,5,9
7750,2,5,9
7808,2,2,1
7808,2,4,6
7420,4,5,9
7424,4,4,5
7436,4,5,10
7464,4,5,9.5
7477,4,4,5
7481,4,5,9
7486,4,4,4.5
7502,4,5,8.5
7665,4,2,2
7714,4,5,8
7729,4,4,7
7746,4,5,8.5
7750,4,4,10
7808,4,4,6
7420,5,5,10
7424,5,2,2
7424,5,4,8.5
7436,5,5,10
7464,5,4,8
7477,5,4,8
7502,5,5,8.5
7714,5,4,4.5
7729,5,2,2
7746,5,5,8
7750,5,4,5.5
7808,5,2,2
7808,5,4,5.5
7420,7,4,6
7424,7,4,6
7436,7,5,9
7464,7,5,8
7477,7,4,7
7486,7,4,6
7502,7,5,9
7714,7,4,6.5
7729,7,4,6
7746,7,5,9
7750,7,4,6
7808,7,4,5.5
7420,125,5,9.5
7424,125,4,6
7436,125,5,10
7464,125,5,10
7477,125,4,5
7486,125,4,5.5
7502,125,5,9.5
7714,125,4,4
7729,125,4,5
7746,125,5,7.5
7750,125,4,5.75
7808,125,4,4
7420,127,5,10
7424,127,4,5
7436,127,5,10
7464,127,5,10
7477,127,5,9
7486,127,4,4
7502,127,5,8
7714,127,4,6
7729,127,5,7
7746,127,5,10
7750,127,5,7
7808,127,4,7
7420,145,5,9
7424,145,5,8
7436,145,5,10
7464,145,5,9
7477,145,5,7
7486,145,5,9
7502,145,5,10
7714,145,5,9
7746,145,5,10
7750,145,5,10
7808,145,5,7
7420,193,4,9.3
7424,193,4,9.3
7424,193,4,9.3
7436,193,4,10
7464,193,4,9.3
7477,193,4,7.2
7486,193,4,7.9
7502,193,4,10
7665,193,2,2
7714,193,4,8.6
7746,193,4,7.2
7750,193,4,7.9
7808,193,4,7.2
7428,1,4,7
7435,1,4,4.5
7442,1,4,5
7451,1,4,6.5
7454,1,2,2
7454,1,5,9
7462,1,5,8.5
7499,1,2,2
7499,1,4,8
7604,1,4,5
7608,1,2,2
7608,1,2,2
7608,1,2,2
7616,1,2,2
7627,1,2,2
7654,1,2,2
7654,1,2,2
7654,1,1,2
7654,1,1,2
7672,1,1,2
7677,1,4,5
7704,1,2,2
7704,1,4,7
7751,1,4,5
7780,1,2,2
7780,1,2,2
7891,1,2,2
7891,1,2,2
7891,1,1,2
7428,2,5,9
7435,2,2,2
7435,2,5,8
7442,2,2,1
7442,2,4,5
7451,2,5,8
7454,2,4,6.5
7462,2,5,7.5
7499,2,4,6.5
7604,2,2,2
7604,2,4,5
7608,2,4,6.5
7616,2,2,2
7627,2,2,2
7627,2,2,1
7654,2,4,6
7666,2,2,1
7666,2,1,2
7666,2,5,7.5
7677,2,4,5.5
7704,2,4,6
7751,2,4,5.5
7780,2,4,5
7891,2,2,3
7891,2,1,1
7891,2,4,7
7428,4,5,8
7435,4,4,8.5
7442,4,4,4.5
7451,4,4,8
7454,4,4,4.5
7462,4,5,7.5
7499,4,1,2
7604,4,4,7.5
7608,4,2,2
7608,4,1,2
7654,4,2,2
7654,4,1,2
7677,4,4,7
7704,4,4,6.5
7751,4,5,8
